JobID,User,AllocCPUS,AllocGRES,Date,ElapsedTime,NumGPUs,CPUTime,GPUTime
5858505,ikissami,88,gpu:2,2023-12-08,00:03:49,2,0-05:35:52,0-00:07:38
5858506,ikissami,88,gpu:2,2023-12-08,00:06:30,2,0-09:32:00,0-00:13:00
5858509,ikissami,1,gpu:1,2023-12-08,00:00:02,1,0-00:00:02,0-00:00:02
5858517,ikissami,1,gpu:1,2023-12-09,00:00:03,1,0-00:00:03,0-00:00:03
5858545,ikissami,1,gpu:1,2023-12-09,00:01:24,1,0-00:01:24,0-00:01:24
5858546,ikissami,1,gpu:1,2023-12-09,00:18:43,1,0-00:18:43,0-00:18:43
5858548,ikissami,1,gpu:1,2023-12-09,00:18:13,1,0-00:18:13,0-00:18:13
5858555,ikissami,10,,2023-12-09,00:23:04,0,0-03:50:40,0-00:00:00
5858557,ikissami,2,,2023-12-09,00:01:30,0,0-00:03:00,0-00:00:00
5858558,ikissami,3,,2023-12-09,00:06:49,0,0-00:20:27,0-00:00:00
5858559,ikissami,1,,2023-12-09,00:02:25,0,0-00:02:25,0-00:00:00
5858560,ikissami,1,,2023-12-09,00:00:01,0,0-00:00:01,0-00:00:00
5858561,ikissami,1,,2023-12-09,00:00:01,0,0-00:00:01,0-00:00:00
5858562,ikissami,1,,2023-12-09,00:00:31,0,0-00:00:31,0-00:00:00
5858563,ikissami,1,,2023-12-09,00:00:30,0,0-00:00:30,0-00:00:00
5858564,ikissami,16,,2023-12-09,00:00:03,0,0-00:00:48,0-00:00:00
5858565,ikissami,16,,2023-12-09,00:00:03,0,0-00:00:48,0-00:00:00
5858566,ikissami,16,,2023-12-09,00:00:03,0,0-00:00:48,0-00:00:00
5858567,ikissami,32,,2023-12-09,00:00:04,0,0-00:02:08,0-00:00:00
5858648,ikissami,1,,2023-12-10,00:23:45,0,0-00:23:45,0-00:00:00
5858649,ikissami,1,,2023-12-10,00:00:01,0,0-00:00:01,0-00:00:00
5858650,ikissami,1,,2023-12-10,00:00:01,0,0-00:00:01,0-00:00:00
5858652,ikissami,1,gpu:1,2023-12-10,00:03:24,1,0-00:03:24,0-00:03:24
5858654,ikissami,1,,2023-12-10,00:02:04,0,0-00:02:04,0-00:00:00
5858655,ikissami,1,,2023-12-10,00:13:03,0,0-00:13:03,0-00:00:00
5858656,ikissami,1,gpu:1,2023-12-10,00:06:14,1,0-00:06:14,0-00:06:14
5858659,ikissami,2,gpu:2,2023-12-10,00:51:13,2,0-01:42:26,0-01:42:26
5858764,ikissami,8,,2023-12-12,00:00:05,0,0-00:00:40,0-00:00:00
5858765,ikissami,2,gpu:2,2023-12-12,00:31:52,2,0-01:03:44,0-01:03:44
5858768,ikissami,1,gpu:1,2023-12-12,00:06:11,1,0-00:06:11,0-00:06:11
5858769,ikissami,5,gpu:1,2023-12-12,00:26:53,1,0-02:14:25,0-00:26:53
5858774,ikissami,2,gpu:2,2023-12-12,00:04:47,2,0-00:09:34,0-00:09:34
5858777,ikissami,2,gpu:2,2023-12-12,00:05:20,2,0-00:10:40,0-00:10:40
5858778,ikissami,4,,2023-12-12,00:03:38,0,0-00:14:32,0-00:00:00
5858779,ikissami,2,gpu:2,2023-12-12,00:01:19,2,0-00:02:38,0-00:02:38
5858780,ikissami,2,gpu:2,2023-12-12,00:00:48,2,0-00:01:36,0-00:01:36
5858781,ikissami,1,gpu:1,2023-12-12,00:00:03,1,0-00:00:03,0-00:00:03
5858782,ikissami,2,gpu:2,2023-12-12,00:00:30,2,0-00:01:00,0-00:01:00
5858783,ikissami,1,gpu:1,2023-12-12,00:12:50,1,0-00:12:50,0-00:12:50
5858784,ikissami,2,gpu:1,2023-12-12,01:01:03,1,0-02:02:06,0-01:01:03
5858786,ikissami,1,gpu:1,2023-12-12,00:06:29,1,0-00:06:29,0-00:06:29
5858787,ikissami,1,,2023-12-12,00:00:03,0,0-00:00:03,0-00:00:00
